#TYPE Selected.System.ServiceProcess.ServiceController
"DisplayName","Name","Status","MachineName","StartType"
"Software Protection","sppsvc","Stopped","DC01.domain.org","Automatic"
"SQL Server (SQLEXPRESS)","MSSQL$SQLEXPRESS","Stopped","DC01.domain.org","Automatic"
"Active Directory Domain Services","NTDS","Running","DC01.domain.org","Automatic"
"Active Directory Web Services","ADWS","Running","DC01.domain.org","Automatic"
"Base Filtering Engine","BFE","Running","DC01.domain.org","Automatic"
"Citrix XenServer Health Check Service","XenServerHealthCheck","Running","DC01.domain.org","Automatic"
"Citrix XenServer Windows Management Agent","XenSvc","Running","DC01.domain.org","Automatic"
"COM+ Event System","EventSystem","Running","DC01.domain.org","Automatic"
"Cryptographic Services","CryptSvc","Running","DC01.domain.org","Automatic"
"DCOM Server Process Launcher","DcomLaunch","Running","DC01.domain.org","Automatic"
"Desktop Window Manager Session Manager","UxSms","Running","DC01.domain.org","Automatic"
"DFS Namespace","Dfs","Running","DC01.domain.org","Automatic"
"DFS Replication","DFSR","Running","DC01.domain.org","Automatic"
"DHCP Client","Dhcp","Running","DC01.domain.org","Automatic"
"Diagnostic Policy Service","DPS","Running","DC01.domain.org","Automatic"
"Diagnostics Tracking Service","DiagTrack","Running","DC01.domain.org","Automatic"
"Distributed Transaction Coordinator","MSDTC","Running","DC01.domain.org","Automatic"
"DNS Client","Dnscache","Running","DC01.domain.org","Automatic"
"DNS Server","DNS","Running","DC01.domain.org","Automatic"
"Group Policy Client","gpsvc","Running","DC01.domain.org","Automatic"
"IKE and AuthIP IPsec Keying Modules","IKEEXT","Running","DC01.domain.org","Automatic"
"Intersite Messaging","IsmServ","Running","DC01.domain.org","Automatic"
"IP Helper","iphlpsvc","Running","DC01.domain.org","Automatic"
"Kerberos Key Distribution Center","kdc","Running","DC01.domain.org","Automatic"
"Netlogon","Netlogon","Running","DC01.domain.org","Automatic"
"Network Location Awareness","NlaSvc","Running","DC01.domain.org","Automatic"
"Network Store Interface Service","nsi","Running","DC01.domain.org","Automatic"
"NSClient++ Monitoring Agent","nscp","Running","DC01.domain.org","Automatic"
"Plug and Play","PlugPlay","Running","DC01.domain.org","Automatic"
"Power","Power","Running","DC01.domain.org","Automatic"
"Print Spooler","Spooler","Running","DC01.domain.org","Automatic"
"Remote Procedure Call (RPC)","RpcSs","Running","DC01.domain.org","Automatic"
"Remote Registry","RemoteRegistry","Running","DC01.domain.org","Automatic"
"RPC Endpoint Mapper","RpcEptMapper","Running","DC01.domain.org","Automatic"
